,video_id,published_at,year_published,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,thumpnail,video_link,episode_number,title_new,total_like_dislike,like_ratio
22,BPjE9x0W7Xg,6/19/2020 5:56,2020,183042,5470,130,0,804,The Official Podcast #185: The Ultimate Chip with Doug,https://i.ytimg.com/vi/BPjE9x0W7Xg/mqdefault.jpg,https://www.youtube.com/watch?v=BPjE9x0W7Xg,185, The Ultimate Chip with Doug,5600,98
23,HsdqVDt75e4,6/12/2020 6:06,2020,157141,4595,88,0,493,The Official Podcast #184: The Moon Ninja Saga,https://i.ytimg.com/vi/HsdqVDt75e4/mqdefault.jpg,https://www.youtube.com/watch?v=HsdqVDt75e4,184, The Moon Ninja Saga,4683,98
24,DnisY4lWKQ0,6/5/2020 5:35,2020,165489,5354,115,0,670,The Official Podcast #183: Super Simp,https://i.ytimg.com/vi/DnisY4lWKQ0/mqdefault.jpg,https://www.youtube.com/watch?v=DnisY4lWKQ0,183, Super Simp,5469,98
25,YQZzJs_a1_w,5/29/2020 5:43,2020,150532,4469,105,0,574,The Official Podcast #182: Shaft Snatchers,https://i.ytimg.com/vi/YQZzJs_a1_w/mqdefault.jpg,https://www.youtube.com/watch?v=YQZzJs_a1_w,182, Shaft Snatchers,4574,98
26,#NAME?,5/22/2020 5:37,2020,221562,6458,279,0,1190,The Official Podcast #181: We Circumcise Each Other,https://i.ytimg.com/vi/-Sfuk0Uhabc/mqdefault.jpg,https://www.youtube.com/watch?v=-Sfuk0Uhabc,181, We Circumcise Each Other,6737,96
27,YFPTuof22eI,5/15/2020 5:00,2020,135009,3933,109,0,623,The Official Podcast #180: Fanny Goes For Gold,https://i.ytimg.com/vi/YFPTuof22eI/mqdefault.jpg,https://www.youtube.com/watch?v=YFPTuof22eI,180, Fanny Goes For Gold,4042,97
28,tY5GM0pQMEU,5/8/2020 5:35,2020,184147,4760,199,0,854,The Official Podcast #179: Directed By Zack Snyder,https://i.ytimg.com/vi/tY5GM0pQMEU/mqdefault.jpg,https://www.youtube.com/watch?v=tY5GM0pQMEU,179, Directed By Zack Snyder,4959,96
29,zIHMoOppxmY,5/1/2020 5:30,2020,257236,10509,127,0,1153,The Official Podcast #178: Ordinary Sausage,https://i.ytimg.com/vi/zIHMoOppxmY/mqdefault.jpg,https://www.youtube.com/watch?v=zIHMoOppxmY,178, Ordinary Sausage,10636,99
30,FY43fUft0yg,4/24/2020 5:30,2020,177355,5519,116,0,859,The Official Podcast #177: Nick Wolfhard and the Perils of Voice Acting,https://i.ytimg.com/vi/FY43fUft0yg/mqdefault.jpg,https://www.youtube.com/watch?v=FY43fUft0yg,177, Nick Wolfhard and the Perils of Voice Acting,5635,98
31,QRo8rhVvWUI,4/17/2020 5:15,2020,168230,4857,151,0,911,The Official Podcast #176: Jesus Christ Allin Has Risen,https://i.ytimg.com/vi/QRo8rhVvWUI/mqdefault.jpg,https://www.youtube.com/watch?v=QRo8rhVvWUI,176, Jesus Christ Allin Has Risen,5008,97
